,occasion,name,avg review,review count,neighborhood,address,cuisines,cost for 2,featured in
466,CASUAL DINING,Miller Tavern,3.7,(123 Reviews),"Yonge Street, North York","3885 Yonge Street, North York M4N2P2 2P2","['Seafood', 'Steak', 'American']",CA$80,[]
467,CASUAL DINING,Mr. Tonkatsu,3.6,(40 Reviews),"Bloor Street West, Harbord Village","520 Bloor Street West, Toronto M5S1Y3",['Japanese'],CA$35,[]
468,CASUAL DINING,Hazel's Diner,4.3,(92 Reviews),"Yonge Street, Bedford Park","3401 Yonge Street, Bedford Park M4N 2M8","['Diner', 'Breakfast']",CA$40,[]
469,CASUAL DINING,Carisma,4.3,(86 Reviews),"King Street East, St. Lawrence","15 Toronto Street, Toronto M5C 1G3",['Italian'],CA$80,[]
470,CASUAL DINING,VIPS Sushi,4.2,(91 Reviews),"Byng Avenue, North York","9 Byng Avenue, North York M2N 0E6","['Sushi', 'Japanese', 'Asian']",CA$25,[]
471,CASUAL DINING,Harbord House,4.4,(117 Reviews),"Harbord Street, Harbord Village","150 Harbord Street, Toronto M5S1H2",['American'],CA$75,[]
472,CASUAL DINING,Westwood Grill,4.5,(97 Reviews),"Annette Street, Bloor West Village","519 Annette Street, Toronto M6P 1S1","['Chinese', 'Asian']",CA$30,[]
473,DESSERT PARLOR,Firehall Confectionary,4.5,(81 Reviews),"Main Street, Markham","170 Main Street Unionville, Markham L3R 2G9","['Desserts', 'Ice Cream']",CA$25,[]
474,CASUAL DINING,Roux,3.9,(98 Reviews),"Dundas Street West, The Junction",2790 Dundas Street West M6P 1Y5,"['French', 'Fusion', 'Southern']",CA$50,[]
475,FINE DINING,TOCA,4.1,(73 Reviews),"Wellington Street West, Entertainment District",181 Wellington Street West M5V 3G7,['Italian'],CA$140,['Weekend Brunches']
476,BAKERY,Hodo Kwaja,4.3,(79 Reviews),"Bloor Street West, Seaton Village","656 Bloor Street West, Toronto M6G 1K9","['Bakery', 'Desserts', 'Korean']",CA$10,[]
477,CASUAL DINING,Sehmi Sushi,4.1,(81 Reviews),"Winston Churchill Boulevard, Mississauga","3015 Winston Churchill Boulevard, Unit 3, Mississauga L5L 2V8","['Sushi', 'Korean']",CA$40,[]
478,CASUAL DINING,Corned Beef House,4.3,(99 Reviews),"Adelaide Street West, Entertainment District","270 Adelaide Street West, Toronto M5H 1X6",['Deli'],CA$35,[]
479,CAFÉ,Yellow Cup Cafe,3.8,(107 Reviews),Etobicoke,"225 The East Mall, Unit 1, Etobicoke M9B 6J1","['Cafe', 'Breakfast']",CA$25,[]
480,CASUAL DINING,The Federal,4.1,(62 Reviews),"Dundas Street West, Brockton Village","1438 Dundas Street West, Toronto M6J 1Y6",['Fusion'],CA$45,"['Weekend Brunches, Kickass Burgers']"
481,CASUAL DINING,AllStar Wings & Ribs,4.3,(145 Reviews),"Woodbine Avenue, Markham","9255 Woodbine Avenue, Unit 11, Markham","['Bar Food', 'American']",CA$50,[]
482,CASUAL DINING,Adega,4.4,(96 Reviews),"Street Bay, Downtown Yonge","33 Elm Street, Toronto M5G 1H1","['Portuguese', 'Seafood']",CA$100,['Date Night']
483,CASUAL DINING,Remezzo,4.1,(92 Reviews),"Sheppard Avenue East, Scarborough","3335 Sheppard Avenue East, Scarborough M1T 3K2",['Italian'],CA$50,[]
484,CAFÉ,Mitzi's Cafe,3.9,(88 Reviews),Parkdale,"100 Sorauren Avenue, Toronto",['Cafe'],CA$35,['Great Breakfasts']
485,CASUAL DINING,Raw Aura,4.1,(77 Reviews),"Lakeshore Road East, Mississauga","94 Lakeshore Road East, Mississauga L5G 1E3",['Healthy Food'],CA$50,[]
486,CASUAL DINING,The Host,4.1,(115 Reviews),"Prince Arthur Avenue, The Annex","14 Prince Arthur Avenue, Toronto M5R 1A9",['Indian'],CA$60,[]
487,CASUAL DINING,The WORKS,3.2,(79 Reviews),"Wellington Street East, St. Lawrence","60 Wellington Street East, Toronto",['Burger'],CA$45,[]
488,CASUAL DINING,Jacques Bistro Du Parc,4.4,(75 Reviews),"Cumberland Street, Yorkville","126A Cumberland Street, Toronto M5R 1A6",['French'],CA$70,[]
489,CASUAL DINING,Pho Pasteur,4.1,(84 Reviews),"Dundas Street West, Kensington-Chinatown","525 Dundas Street West, Unit 1, Toronto M5T 1H4",['Vietnamese'],CA$30,['Restaurants Serving Pho']
490,CASUAL DINING,Mayflower Chinese Food,4.4,(81 Reviews),"Royal York Road, Etobicoke","1500 Royal York Road, Toronto M9P 3B6",['Chinese'],CA$25,[]
491,CASUAL DINING,Moxie's Grill & Bar,3.2,(124 Reviews),"City Centre Drive, Mississauga","100 City Centre Dr, 2-409, Mississauga L5B 1M7","['Grill', 'Steak', 'Canadian', 'Fusion']",CA$65,[]
492,CASUAL DINING,Azure - InterContinental Toronto Centre Hotel,3.1,(68 Reviews),Entertainment District,"InterContinental Toronto Centre Hotel, 225 Front Street West, Toronto M5V 2X3",['Canadian'],CA$100,[]
493,CASUAL DINING,Ethiopiques,4.1,(104 Reviews),"Church Street, Garden District","227 Church Street, Toronto M5B 1Y7","['Ethiopian', 'African']",CA$50,[]
494,CASUAL DINING,La Bella Managua,4.2,(64 Reviews),"Bloor Street West, Palmerston",872 Bloor Street West M6G 1M5,['Latin American'],CA$50,[]
495,CASUAL DINING,Levetto,3.9,(39 Reviews),Liberty Village,"68 Sudbury Street, Unit 4, Toronto M6J 3S7","['Italian', 'Pizza']",CA$45,['Mamma Mia!']
496,CASUAL DINING,Dragon Legend,3.9,(73 Reviews),"Lanark Road, Markham","25 Lanark Road, Markham L3R 9Y7","['Chinese', 'Asian']",CA$30,[]
497,QUICK BITES,Fat Bastard Burrito,4.3,(124 Reviews),"The Queensway, Etobicoke","1180 The Queensway, Etobicoke","['Mexican', 'Fast Food']",CA$25,[]
498,CASUAL DINING,Osmow's,3.9,(136 Reviews),"Queen Street South, Mississauga","251 Queen Street South, Mississauga L5H 1L7",['Mediterranean'],CA$30,[]
499,CASUAL DINING,Bodega Restaurant,3.4,(90 Reviews),"Baldwin Street, Grange Park",30 Baldwin Street M5T 1L3,"['French', 'Mediterranean']",CA$75,[]
500,CASUAL DINING,Ricci's,4.2,(112 Reviews),"Langstaff Road, Woodbridge","8401 Weston Road, Unit 19, Woodbridge L4L 1A6","['Pizza', 'Italian']",CA$30,[]
501,CASUAL DINING,Max's Of Manila,3.1,(85 Reviews),Vaughan,"1520 Steeles Avenue W, Vaughan L4K 3B9","['Filipino', 'Asian']",CA$30,[]
502,CASUAL DINING,Thai Pepper,4.2,(94 Reviews),"Fisherman Drive, Brampton","2 Fisherman Drive, Brampton L7A2X9","['Thai', 'Asian']",CA$43,[]
503,CASUAL DINING,The Grille,3.7,(128 Reviews),"The Queensway, Etobicoke","1596 The Queensway, Etobicoke M8Z1V1","['American', 'Grill']",CA$45,[]
504,CASUAL DINING,Piggy's Restaurant,3.8,(56 Reviews),Thornhill,"5 Glen Cameron Road, Thornhill","['Korean', 'Asian']",CA$30,[]
505,CASUAL DINING,Lee Chen,4.0,(87 Reviews),"Yonge Street, Yorkville","832 Yonge Street, Toronto M4W 2H1","['Taiwanese', 'Chinese', 'Asian']",CA$35,[]
506,CASUAL DINING,Trattoria Timone,4.3,(106 Reviews),"Winston Park Drive, Oakville","Oakville Entertainment Centre, 2091 Winston Park Drive, Oakville",['Italian'],CA$55,[]
507,DESSERT PARLOR,Dolce Gelato,4.4,(120 Reviews),"College Street, Little Italy","697 College Street, Toronto M6G","['Ice Cream', 'Desserts']",CA$20,[]
508,BAKERY,Forno Cultura,4.0,(76 Reviews),"King Street West, Niagara","609 King Street West, Toronto M5V","['Bakery', 'Cafe']",CA$15,['Sweet Tooth']
509,CASUAL DINING,Starving Artist,3.0,(74 Reviews),"Saint Clair Avenue West, Oakwood","1078 St. Clair Avenue West, Toronto M6E 1A5",['Canadian'],CA$45,[]
510,CASUAL DINING,Marlowe,3.0,(135 Reviews),"York Boulevard, Richmond Hill","155 York Boulevard, Unit 1, Richmond Hill","['Grill', 'Italian']",CA$90,[]
511,CASUAL DINING,Big Bowl,4.2,(107 Reviews),"Liruma Road, Mississauga","2655 Liruma Road, Unit 1, Mississauga L5K 1Y8","['Vietnamese', 'Asian']",CA$40,[]
512,FINE DINING,Momofuku Shōtō,3.3,(69 Reviews),"University Avenue, Entertainment District","Momofuku, Third Floor, 190 University Avenue, Toronto M5H 0A3","['Japanese', 'Asian']",CA$180,[]
513,CASUAL DINING,Axia Restaurant & Bar,4.0,(119 Reviews),Mississauga,"5045 Plantation Place, Mississauga L5M 6J3","['Sushi', 'Chinese', 'Asian Fusion']",CA$45,[]
514,CASUAL DINING,Fanny Chadwick's,3.9,(90 Reviews),"Howland Avenue, The Annex","268 Howland Avenue, Toronto M5R 3B6","['Canadian', 'Diner']",CA$55,['Weekend Brunches']
515,CASUAL DINING,Eggspectation Restaurant-Café,3.8,(54 Reviews),"Bay Street, Downtown Yonge","Bell Trinity Square, South Tower, 20 Albert Street, Toronto M5G 2C9","['Diner', 'American', 'Canadian']",CA$40,[]
516,DESSERT PARLOR,The Big Chill,3.7,(75 Reviews),"College Street, Little Italy","566 College Street, Toronto","['Ice Cream', 'Desserts']",CA$15,[]
517,CASUAL DINING,Local Kitchen & Wine Bar,3.9,(116 Reviews),"Queen Street West, Parkdale","1710 Queen Street West, Toronto M6R 1B3",['Italian'],CA$75,[]
518,CASUAL DINING,Emerald Chinese Restaurant,3.9,(112 Reviews),"Eglinton Avenue West, Mississauga","30 Eglinton Avenue W, Mississauga L5R 3E7",['Dim Sum'],CA$35,[]
519,QUICK BITES,Papa Chang's,3.8,(70 Reviews),"16th Avenue, Markham","5970 16th Avenue, Unit 110, Markham",['Taiwanese'],CA$25,[]
520,CASUAL DINING,Wildfire,3.5,(110 Reviews),"Yonge Street, Bedford Park","3438 Yonge Street, North York M4N 2N2",['Steak'],CA$100,[]
521,CASUAL DINING,Magic Noodle,3.4,(61 Reviews),"Mcnicoll Avenue, Scarborough","2190 Mcnicoll Avenue, Scarborough M1V 5M2",['Northern Chinese'],CA$20,[]
522,BEVERAGE SHOP,Chatime,4.4,(130 Reviews),"Dundas Street West, Downtown Yonge","132 Dundas Street West, Toronto","['Bubble Tea', 'Beverages', 'Taiwanese']",CA$15,[]
523,CASUAL DINING,Brownstone Bistro,3.8,(118 Reviews),"Yonge Street, Downtown Yonge","601 Yonge Street, Toronto M4Y 1Z5",['Italian'],CA$75,[]
524,CASUAL DINING,Grapefruit Moon,4.0,(105 Reviews),"Bathurst Street, Seaton Village","968 Bathurst Street, Toronto M6G 3A7","['Grill', 'Canadian']",CA$30,['Grill My Cheese']
525,CAFÉ,Green Grotto Tea Room,4.0,(85 Reviews),"Warden Avenue, Markham","7040 Warden Avenue, Markham L3R 4N3","['Bubble Tea', 'Cafe', 'Desserts']",CA$30,[]
526,CASUAL DINING,Batifole,4.3,(96 Reviews),"Gerrard Street East, Riverdale","744 Gerrard Street East, Toronto M4M 1Y3",['French'],CA$65,[]
527,CASUAL DINING,Gonoe Sushi,3.9,(97 Reviews),"Don Mills Road, North York","1310 Don Mills Road, North York M3B 2W6","['Sushi', 'Japanese', 'Asian']",CA$40,[]
528,CASUAL DINING,Crown Prince Fine Dining,3.9,(64 Reviews),"Victoria Park Avenue, North York","3600 Victoria Park Avenue, Unit 1-7, North York M2H 3B2","['Dim Sum', 'Cantonese', 'Chinese', 'Asian']",CA$50,[]
529,CASUAL DINING,Nando's,3.8,(68 Reviews),"Bay Street, Discovery District","Unit 1, 832 Bay Street M5S 1Z6","['Portuguese', 'African']",CA$25,[]
530,CASUAL DINING,Kebab 49,4.3,(84 Reviews),"Dundas Street West, Etobicoke","5308 Dundas Street West, Etobicoke",['Turkish'],CA$30,[]
531,CASUAL DINING,Gourmet Bistro,4.0,(70 Reviews),"Dufferin Street, Thornhill","8707 Dufferin Street, Thornhill","['American', 'Grill']",CA$60,[]
532,CAFÉ,Jimmy's Coffee,4.2,(97 Reviews),Fashion District,"107 Portland Street, Toronto",['Cafe'],CA$15,[]
533,QUICK BITES,Five Guys,4.0,(131 Reviews),"Burnhamthorpe Road West, Mississauga","2150 Burnhamthorpe Road W, Mississauga L5M 4Z5","['Fast Food', 'Burger']",CA$25,[]
534,CASUAL DINING,Queen's Pasta Cafe,4.0,(127 Reviews),"Bloor Street West, Bloor West Village","2263 Bloor Street West, Toronto M6S 1N8",['Italian'],CA$65,['Mamma Mia!']
535,CASUAL DINING,Anatolia,4.1,(96 Reviews),"Dundas Street West, Etobicoke","5112 Dundas Street West, Etobicoke M9A1C2",['Turkish'],CA$60,[]
536,BAR,Cold Tea,4.0,(54 Reviews),"Baldwin Street, Kensington-Chinatown","60 Kensington Avenue, Toronto M5T 2K2",['Asian'],CA$45,['Hipster Hangouts']
537,CASUAL DINING,Nana,3.9,(45 Reviews),"Queen Street West, Trinity Bellwoods","785 Queen Street West, Toronto M6J 1G1","['Thai', 'Asian']",CA$50,[]
538,DESSERT PARLOR,Tom's Dairy Freeze,4.6,(93 Reviews),"The Queensway, Etobicoke","630 The Queensway, Etobicoke M8Y 1K5","['Ice Cream', 'Desserts', 'Fast Food']",CA$20,[]
539,CASUAL DINING,Genghis Khan Mongolian Grill,4.1,(93 Reviews),"Don Mills Road, North York","900 Don Mills Road, North York M3C 1V6","['Mongolian', 'Asian']",CA$75,[]
540,CASUAL DINING,August 8,4.2,(103 Reviews),Burlington,"834 Brant Street, Burlington","['Chinese', 'Sushi', 'Dim Sum', 'Asian']",CA$55,[]
541,CASUAL DINING,Konnichiwa,4.2,(89 Reviews),"Baldwin Street, Grange Park","31 Baldwin Street, Toronto M5T 1L1",['Sushi'],CA$40,[]
542,CASUAL DINING,Mangia & Bevi,4.3,(85 Reviews),"Ontario Street, St. Lawrence","260 King Street East, Toronto M5A 4L5","['Pizza', 'Italian']",CA$50,[]
543,CASUAL DINING,High Street Fish And Chips,4.1,(58 Reviews),"Underhill Drive, North York","55 Underhill Drive, North York M3A 2J8",['Fish and Chips'],CA$25,[]
544,CASUAL DINING,Kwan Dim Sum,4.0,(56 Reviews),"Yonge Street, Davisville Village","1496 Yonge Street, Toronto","['Dim Sum', 'Cantonese', 'Chinese', 'Asian']",CA$70,['Great Chinese']
545,CASUAL DINING,Niwatei,3.9,(73 Reviews),"Steeles Avenue East, Markham","J-Town, 3160 Steeles Avenue East, Unit 2, Markham L3R 4G9","['Ramen', 'Japanese']",CA$30,[]
546,CASUAL DINING,Jerusalem Restaurant,3.6,(94 Reviews),"Leslie Street, North York","4777 Leslie Street, North York M2J 2K8","['Israeli', 'Middle Eastern']",CA$35,[]
547,CASUAL DINING,Under The Table,4.0,(48 Reviews),"Parliament Street, Cabbagetown","568 Parliament Street, Toronto M4X 1P6",['Canadian'],CA$40,[]
548,CASUAL DINING,Big Crow,3.8,(44 Reviews),The Annex,"176 Dupont Street, Toronto M5R2E6","['American', 'BBQ']",CA$70,['Barbecue & Grill']
549,CASUAL DINING,Hakata Ramen Sho Ryu Ken,3.7,(39 Reviews),"Yonge Street, North York","5321 Yonge Street, North York M2N 5R4","['Ramen', 'Japanese']",CA$30,['Ramen']
550,CASUAL DINING,Bindia,3.9,(60 Reviews),"Front Street East, St. Lawrence","16 Market Street, Toronto M5E 1C3",['Indian'],CA$60,['Happy Herbivores']
551,CASUAL DINING,Mexican Amigos,4.0,(92 Reviews),"Yonge Street, Richmond Hill","10720 Yonge Street, Richmond Hill L4C 0C7",['Mexican'],CA$30,[]
552,CASUAL DINING,Big Bone BBQ & Wicked Wings,4.3,(105 Reviews),Newmarket,"207 Eagle Street, Newmarket",['BBQ'],CA$80,[]
553,CASUAL DINING,RD's Southern BBQ,4.1,(74 Reviews),"Kennedy Road North, Brampton",25 Aventura Court Mississauga L5T 3A1,"['BBQ', 'American']",CA$50,[]
554,CASUAL DINING,Sofra Grill,4.0,(121 Reviews),"Dufferin Street, Thornhill","8707 Dufferin Street, Unit 21, Thornhill",['Mediterranean'],CA$40,[]
555,CAFÉ,Moonbean,4.2,(100 Reviews),"Saint Andrew Street, Kensington-Chinatown","30 Andrew Street, Toronto M5T 1K6",['Cafe'],CA$20,[]
556,CASUAL DINING,Curry Twist,4.3,(101 Reviews),"Dundas Street West, The Junction","3034 Dundas Street West, Toronto M6P 1Z3",['Indian'],CA$40,[]
557,QUICK BITES,Fancy Franks,3.6,(77 Reviews),"College Street, Harbord Village","326 College Street, Toronto",['Fast Food'],CA$25,[]
558,QUICK BITES,TLP Sandwich Co.,4.0,(43 Reviews),"Elm Street, Downtown Yonge","15 Elm Street, Toronto M5G 1H1","['Fast Food', 'Steak', 'Burger', 'Sandwich']",CA$20,[]
559,CASUAL DINING,Tutti Matti,3.8,(100 Reviews),"Adelaide Street West, Entertainment District","364 Adelaide Street West, Toronto",['Italian'],CA$100,['Mamma Mia!']
560,CASUAL DINING,Hot Mama Noi's Thai On The Fly,4.5,(100 Reviews),"Bayly Street, Pickering","1410 Bayly Street, Unit 6A, Pickering","['Thai', 'Asian']",CA$25,[]
561,CASUAL DINING,SOCO Kitchen + Bar,3.6,(46 Reviews),"Delta Toronto, Entertainment District","Delta Toronto, 75 Lower Simcoe Street, Toronto M5J 3A6","['European', 'American']",CA$85,[]
562,CASUAL DINING,Home Of Hot Taste,3.9,(62 Reviews),"Glen Cameron Road, Thornhill","5 Glen Cameron Road, Suite 3B, Thornhill L3T 5W2","['Korean', 'Asian']",CA$35,[]
563,CASUAL DINING,AGO Bistro @ The Art Gallery of Ontario,4.2,(105 Reviews),"Dundas Street West, Grange Park",317 Dundas Street West M5T 1G4,"['Fusion', 'Canadian']",CA$100,[]
564,CASUAL DINING,Donburi,3.2,(68 Reviews),"Commerce Gate, Markham","Commerce Gate, 505 Highway 7, Thornhill","['Japanese', 'Asian']",CA$30,[]
565,CASUAL DINING,Madras Masala,4.0,(81 Reviews),Christie Pits,"796 Bloor Street West, Toronto M6G 1L7",['South Indian'],CA$45,[]
566,CASUAL DINING,L'Unita,4.0,(75 Reviews),"Avenue Road, The Annex","134 Avenue Road, Toronto",['Italian'],CA$90,[]
567,CASUAL DINING,El Rincon,3.5,(90 Reviews),Hillcrest,"653 St. Clair Avenue West, Toronto",['Mexican'],CA$65,['Mexican Magic']
568,FINE DINING,Courtyard Cafe - Windsor Arms,3.7,(75 Reviews),"Bloor Street West, Yorkville","Windsor Arms, 18 St. Thomas Street, Toronto M5S 3E7",['Canadian'],CA$110,[]
569,CASUAL DINING,Lone Star Texas Grill,3.5,(94 Reviews),"King Street West, Entertainment District","212 King Street West, Toronto M5H 1K5","['Tex-Mex', 'Bar Food']",CA$80,[]
570,CASUAL DINING,Mill Street Brew Pub,3.3,(68 Reviews),"Tank House Lane, Distillery District","21 Tank House Lane, Toronto M5A 3C4","['Bar Food', 'Canadian']",CA$65,[]
571,CASUAL DINING,Northern Dumpling Kitchen,3.9,(59 Reviews),"Highway 7, Richmond Hill","550 Highway 7 East, Unit 52A, Richmond Hill","['Northern Chinese', 'Chinese', 'Asian']",CA$20,[]
572,CASUAL DINING,Jamies Italian Yorkdale,3.0,(48 Reviews),"Dufferin Street, North York","Yorkdall Mall, 3401 Dufferin Street, North York",['Italian'],CA$55,[]
573,BAR,Crown and Dragon Pub,4.2,(78 Reviews),Rosedale,"890 Yonge Street, Toronto M4W 3P4","['Bar Food', 'American', 'Burger']",CA$60,[]
574,CAFÉ,Stay,3.6,(46 Reviews),"Spadina Avenue, Kensington-Chinatown","388 Spadina Avenue, Toronto M5T 2G5","['Tea', 'Chinese', 'Desserts', 'Cafe']",CA$30,[]
575,CASUAL DINING,Chinese Dumpling House,4.0,(77 Reviews),"Steeles Avenue East, Markham","Metro Square Plaza, 3636 Steeles Avenue E, Markham L3R 1K9","['Northern Chinese', 'Chinese', 'Asian']",CA$35,[]
576,QUICK BITES,Kanga,3.9,(70 Reviews),"Queen Street West, Entertainment District","65 Duncan Street, Toronto M5V 2C5",['Australian'],CA$25,[]
577,CASUAL DINING,259 Host,4.1,(85 Reviews),"Wellington Street West, Entertainment District","259 Wellington Street W, Toronto M5V 3E4",['Indian'],CA$50,[]
578,CASUAL DINING,Udupi Madras Cafe,4.1,(75 Reviews),"Enfield Place, Mississauga","265 Enfield Place, Mississauga L5B 3E2",['Indian'],CA$50,[]
579,CASUAL DINING,Frank's Pizza House,4.4,(89 Reviews),"Saint Clair Avenue West, Earlscourt","1352 St. Clair Avenue West, Toronto M6E 1C4 1C4","['Italian', 'Pizza']",CA$50,[]
580,CASUAL DINING,7 Enoteca,4.2,(75 Reviews),"George Street, Oakville","216 Lakeshore Boulevard East, Oakville L6J 7N9","['Pizza', 'Italian']",CA$120,[]
581,CASUAL DINING,Zen Gardens Vegetarian Restaurant,4.3,(70 Reviews),"Maritz Drive, Mississauga","6980 Maritz Drive, Unit 6 L5W 1Z3","['Sushi', 'Japanese', 'Chinese', 'Asian']",CA$45,[]
582,FINE DINING,The David Duncan House,3.8,(85 Reviews),"Moatfield Drive, North York","125 Moatfield Drive, Toronto","['American', 'Steak', 'Seafood']",CA$120,[]
583,QUICK BITES,Watan Kabob,4.3,(71 Reviews),"Hurontario Street, Mississauga","55 matheson Boulevard East, Mississauga L4Z 1X8","['Kebab', 'Afghan']",CA$30,[]
584,CASUAL DINING,Kuni Sushi Ya,3.4,(88 Reviews),"Baldwin Street, Grange Park","20 Baldwin Street, Toronto M5T 1L2",['Sushi'],CA$45,[]
585,BAR,Triple A Bar,4.0,(74 Reviews),"Adelaide Street East, St. Lawrence","138 Adelaide Street East, Toronto M5C 1K9","['BBQ', 'American', 'Bar Food']",CA$50,['Barbecue & Grill']
586,QUICK BITES,Chris Jerk Caribbean Bistro,3.9,(52 Reviews),"Birchmount Road, Scarborough","Huntingwood Square, 2570 Birchmount Road, Scarborough M1T 2M5","['Jamaican', 'Caribbean']",CA$35,[]
587,CASUAL DINING,Bobby's Hideaway,4.1,(95 Reviews),"Queen Street North, Mississauga",20 Queen Street North L5N 1A1,['Diner'],CA$40,[]
588,CASUAL DINING,Baldini,3.5,(118 Reviews),"Queen Street East, Leslieville","1012 Queen Street East, Toronto M4M 1K1",['Italian'],CA$60,[]
589,CASUAL DINING,Toji Sushi,4.3,(76 Reviews),"5084 Dundas Street West, Etobicoke","5088 Dundas Street West, Etobicoke M9A1C2","['Sushi', 'Japanese']",CA$50,[]
590,CASUAL DINING,The Tulip,3.9,(109 Reviews),"Queen Street East, Leslieville","1606 Queen Street East, Toronto M4L 3A7","['Steak', 'Breakfast']",CA$45,[]
591,CASUAL DINING,Donatello,4.0,(79 Reviews),"Elm Street, Downtown Yonge","37 Elm Street, Toronto M5G 1H1",['Italian'],CA$80,[]
592,CAFÉ,Carole's Cheesecake Cafe,4.1,(69 Reviews),Yorkville,"114 Cumberland Street, Toronto M5R 3V5","['Cafe', 'Bakery', 'Sandwich']",CA$25,[]
593,CASUAL DINING,Nirvana,3.8,(104 Reviews),"College Street, Kensington-Chinatown","434 College Street, Toronto M5T2N3","['Asian Fusion', 'American']",CA$50,[]
594,CASUAL DINING,Bar Wellington,3.9,(105 Reviews),"Wellington Street West, Fashion District","520 Wellington Street West, Toronto","['Bar Food', 'Grill']",CA$75,[]
595,CASUAL DINING,Elephant & Castle,3.5,(99 Reviews),Entertainment District,"212 King Street West, Toronto M5H 1K5","['Bar Food', 'British']",CA$85,[]
596,CASUAL DINING,Annona - Park Hyatt Toronto Yorkville,3.9,(74 Reviews),"Avenue Road, The Annex","Park Hyatt Toronto Yorkville, 4 Avenue Road, Toronto M5R 2E8","['Canadian', 'Breakfast']",CA$100,[]
597,CASUAL DINING,Boom Breakfast & Co,3.8,(104 Reviews),"College Street, Little Italy","808 College Street, Toronto M6G 1C8","['Diner', 'Canadian']",CA$45,[]
598,BAR,The Red Tomato,3.2,(53 Reviews),"King Street West, Entertainment District","321 King Street West, Toronto",['Italian'],CA$50,[]
599,CASUAL DINING,Canyon Creek,4.1,(120 Reviews),Mississauga,299 Rathburn Road West L5B 4C1,['Steak'],CA$80,[]
600,CASUAL DINING,Pho Metro,4.3,(75 Reviews),"Lawrence Avenue East, Scarborough","2057 Lawrence Avenue E, Scarborough M1R 2Z4","['Vietnamese', 'Asian']",CA$30,['Restaurants Serving Pho']
601,CASUAL DINING,Pho Huong,3.9,(115 Reviews),"Pacific Avenue, The Junction","394 Pacific Avenue, Toronto M6P 2R1","['Vietnamese', 'Asian']",CA$30,['Restaurants Serving Pho']
602,CAFÉ,Luna Cafe,3.9,(58 Reviews),Beaconsfield Village,"181 Dovercourt Road, Toronto M6R 1M2",['Cafe'],CA$30,[]
603,CASUAL DINING,Sauvignon,4.5,(107 Reviews),"Queen Street East, The Beaches","1862 Queen Street East, Toronto","['French', 'Seafood']",CA$80,[]
604,CASUAL DINING,The Wheat Sheaf Tavern,4.2,(95 Reviews),"King Street West, Niagara","667 King Street West, Toronto M5V",['Bar Food'],CA$50,[]
605,CAFÉ,T-Buds,3.8,(57 Reviews),"Yonge Street, Bedford Park","3343 Yonge Street Fl 2, Yonge & Eglinton, Toronto M4N 2M4","['Tea', 'Cafe']",CA$40,[]
606,CAFÉ,Wanda's Belgian Waffles,3.2,(88 Reviews),"Yonge Street, Downtown Yonge","361 Yonge Street, Toronto","['Cafe', 'Belgian', 'Desserts']",CA$30,[]
607,DESSERT PARLOR,Ruelo Patisserie,3.7,(89 Reviews),"Highway 7, Richmond Hill","Times Square, 550 Highway 7 East, Unit C73, Richmond Hill","['Desserts', 'Cafe']",CA$25,[]
608,CAFÉ,Rooster Coffee House,4.3,(80 Reviews),"Broadview Avenue, Riverdale","479 Broadview Avenue, Toronto",['Cafe'],CA$20,['Board Games']
609,CASUAL DINING,Mariachi's,3.9,(106 Reviews),"Yonge Street, Yonge & Eglinton","2084 Yonge Street, Toronto M4S 2A4",['Mexican'],CA$60,[]
610,CASUAL DINING,Böehmer,3.7,(84 Reviews),"Ossington Avenue, Beaconsfield Village","93 Ossington Avenue, Toronto M6J 2Z2",['Canadian'],CA$115,[]
611,CASUAL DINING,The Badali Bar and Cucina,3.7,(103 Reviews),"Front Street West, Entertainment District","156 Front Street West, Toronto M5J 2L6",['Italian'],CA$65,[]
612,BAR,The Rebel House,4.4,(97 Reviews),Rosedale,"1068 Yonge Street, Toronto M4W 2L4","['Bar Food', 'Canadian']",CA$70,['Grill My Cheese']
613,CAFÉ,Fahrenheit Coffee,4.1,(73 Reviews),"Lombard Street, St. Lawrence","120 Lombard Street, Toronto",['Cafe'],CA$20,[]
614,DESSERT PARLOR,Jelly Modern Doughnuts,3.3,(54 Reviews),"College Street, Harbord Village","376 College Street, Toronto M5T 1S6",['Desserts'],CA$10,[]
615,CASUAL DINING,Toma Burger Addiction,3.9,(65 Reviews),"Queen Street West, Trinity Bellwoods","712 Queen Street West, Toronto M6J 1G1",['Burger'],CA$45,[]
616,CASUAL DINING,The Fry,3.8,(39 Reviews),"Yonge Street, North York",4864 Yonge Street M2N 5N2,"['Korean', 'Asian', 'Soul Food']",CA$60,[]
617,BAR,Duke's Refresher + Bar,3.8,(63 Reviews),Downtown Yonge,"382 Yonge Street, Toronto M5B 1S8",['Bar Food'],CA$60,[]
618,CASUAL DINING,The Shore Club - Toronto,3.9,(70 Reviews),"Wellington Street West, Entertainment District",155 Wellington Street West M5V 3H1,"['Seafood', 'Steak']",CA$100,[]
619,QUICK BITES,Pizza Pide,4.4,(79 Reviews),"Pape Avenue, Leslieville","949 Gerrard Street East, Toronto M4M 2W7","['Turkish', 'Pizza', 'Fast Food']",CA$25,[]
620,CASUAL DINING,Sushi Kui,4.3,(98 Reviews),Aurora,"2 Orchard Heights Boulevard, Aurora","['Japanese', 'Sushi']",CA$40,[]
