,occasion,name,avg review,review count,neighborhood,address,cuisines,cost for 2,featured in
33,CASUAL DINING,Sukho Thai,4.6,(286 Reviews),"Wellington Street East, St. Lawrence","52 Wellington Street East, Toronto",['Thai'],CA$50,[]
34,FINE DINING,Jacob's and Co. Steakhouse,4.9,(317 Reviews),Fashion District,"12 Brant Street, Toronto",['Steak'],CA$140,['Super Seafood']
35,DESSERT PARLOR,Nadège,4.9,(361 Reviews),"Queen Street West, Trinity Bellwoods","780 Queen Street West, Toronto ON M6J 2R5","['Desserts', 'Patisserie', 'Cafe']",CA$20,"['Sweet Tooth, Hipster Hangouts']"
36,CASUAL DINING,Copacabana Grilled Brazilian,4.2,(540 Reviews),Davisville Village,"150 Eglinton Avenue East, Toronto M5H 3H1","['Brazilian', 'Grill']",CA$100,"['Comfort Food, Unique Dining']"
37,CASUAL DINING,Buk Chang Dong Soon Tofu,4.6,(382 Reviews),"Bloor Street West, Seaton Village","691 Bloor Street West, Toronto M6G 1L3",['Korean'],CA$30,[]
38,DESSERT PARLOR,Bang Bang Ice Cream,4.7,(219 Reviews),"Ossington Avenue, Beaconsfield Village","93 1/2 Ossington Avenue, Toronto M6J 2Z4","['Ice Cream', 'Desserts']",CA$20,[]
39,QUICK BITES,Burrito Boyz,4.5,(639 Reviews),"Adelaide Street West, Entertainment District","224 Adelaide Street West, Toronto M5H 1W7","['Mexican', 'Fast Food']",CA$25,[]
40,CASUAL DINING,Han Ba Tang,4.4,(174 Reviews),"Yonge Street, North York","4862 Yonge Street, North York M2N 5N2","['Korean', 'Asian Fusion', 'Asian']",CA$30,[]
41,QUICK BITES,Tacos El Asador,4.5,(365 Reviews),"Clinton Street, Seaton Village","690 Bloor Street West, Toronto M6G 4B9","['Fast Food', 'Mexican']",CA$25,['Pocket Friendly']
42,CASUAL DINING,Japango,4.4,(344 Reviews),"Elizabeth Street, Discovery District","122 Elizabeth Street, Toronto M5G 1P5","['Sushi', 'Japanese', 'Asian']",CA$120,['Super Sushi']
43,CASUAL DINING,Playa Cabana,4.4,(309 Reviews),"Dupont Street, The Annex","111 Dupont Street, Toronto M5R 1V4",['Mexican'],CA$70,"['Date Night, Mexican Magic']"
44,CASUAL DINING,Rol San,4.1,(381 Reviews),Kensington-Chinatown,"323 Spadina Avenue, Toronto M5T2E9","['Dim Sum', 'Cantonese']",CA$45,['Great Chinese']
45,CASUAL DINING,KINTON RAMEN,3.9,(476 Reviews),"Baldwin Street, Grange Park","51 Baldwin Street, Toronto M5T 1L1","['Ramen', 'Japanese']",CA$35,['Ramen']
46,CASUAL DINING,Gandhi Indian Cuisine,4.3,(383 Reviews),"Queen Street West, Fashion District",554 Queen Street West M5V 2B7,['Indian'],CA$30,[]
47,CASUAL DINING,Stoney's Bread Company,4.6,(394 Reviews),"Kerr Street, Oakville","325 Kerr Street, Oakville",['Italian'],CA$45,[]
48,CASUAL DINING,Byblos,4.7,(169 Reviews),"Duncan Street, Entertainment District",11 Duncan Street M5V 3M2,['Mediterranean'],CA$90,[]
49,CASUAL DINING,Gio Rana's Really Really Nice Restaurant,4.5,(385 Reviews),"Queen Street East, Leslieville","1220 Queen Street East, Toronto M4M 1L7",['Italian'],CA$65,['Mamma Mia!']
50,CASUAL DINING,Le Petit Dejeuner,4.3,(344 Reviews),"King Street East, St. Lawrence","191 King Street East, Toronto M5A 1J5","['Canadian', 'Belgian']",CA$70,"['Great Breakfasts, Weekend Brunches']"
51,FAST CASUAL,Chipotle,4.3,(496 Reviews),"Yonge Street, Downtown Yonge","323 Yonge Street, Toronto M5B 1R7",['Tex-Mex'],CA$30,[]
52,CASUAL DINING,Holy Chuck Burgers,4.2,(337 Reviews),Yonge & St. Clair,"1450 Yonge Street, Toronto",['Burger'],CA$30,['Kickass Burgers']
53,CASUAL DINING,GuruLukshmi,4.5,(335 Reviews),"Derry Village Square, Mississauga",7070 Saint Barbara Boulevard L5W 0E6,['Indian'],CA$40,[]
54,CASUAL DINING,Ramen Isshin,4.7,(157 Reviews),"College Street, Harbord Village","421 College Street, Toronto M5T 1T1","['Ramen', 'Japanese']",CA$50,['Ramen']
55,CASUAL DINING,Enoteca Sociale,4.5,(280 Reviews),"Dundas Street West, Dufferin Grove","1288 Dundas Street West, Toronto M6J 1X7","['Italian', 'European']",CA$90,"['Date Night, Mamma Mia!']"
56,BAR,The Lounge - The Drake Hotel,4.1,(360 Reviews),"Queen Street West, Beaconsfield Village","The Drake Hotel, 1150 Queen Street West, Toronto M6J 1J3","['Bar Food', 'European', 'Asian']",CA$65,[]
57,BAR,Sneaky Dee's,4.0,(321 Reviews),"College Street, Little Italy","431 College Street, Toronto M5T 1T1","['Mexican', 'Bar Food', 'Tex-Mex']",CA$20,['Pocket Friendly']
58,BAR,Amsterdam BrewHouse,3.9,(233 Reviews),"Amsterdam Bridge, Harbourfront","245 Queens Quay West, Toronto M5J 2K9",['Bar Food'],CA$70,['Craft Beer']
59,CASUAL DINING,The Sultan's Tent & Cafe Moroc,3.8,(410 Reviews),"Front Street East 3rd Floor, St. Lawrence","49 Front Street East, Toronto","['French', 'Moroccan']",CA$70,['Unique Dining']
60,CASUAL DINING,Utopia,4.4,(379 Reviews),"College Street, Little Italy","586 College Street, Toronto M6G 1B3","['American', 'Mexican']",CA$40,['Comfort Food']
61,CASUAL DINING,Buster's Sea Cove,4.5,(275 Reviews),"Front Street East, St. Lawrence","St. Lawrence Market, 93 Front Street East, Toronto",['Seafood'],CA$50,['Super Seafood']
62,CASUAL DINING,Lady Marmalade,4.4,(299 Reviews),"Queen Street East, Riverside","265 Broadview Ave, Toronto M4M 1J3",['Mexican'],CA$40,[]
63,FINE DINING,360 Restaurant,4.1,(346 Reviews),"CN Tower, Entertainment District","CN Tower, 301 Front Street West, Toronto M5V 2T6","['Canadian', 'Grill']",CA$180,['Unique Dining']
64,QUICK BITES,Porchetta & Co.,4.6,(227 Reviews),"Dundas Street West, Trinity Bellwoods","825 Dundas Street West, Toronto M6J 1V4",['Sandwich'],CA$30,[]
65,CASUAL DINING,Cluny Bistro & Boulangerie,4.3,(192 Reviews),"Mill Street, Distillery District","35 Tank House Lane, Distillery District, Toronto M5A 3C4",['French'],CA$90,['Date Night']
66,BAKERY,Bonjour Brioche,4.3,(289 Reviews),"Queen Street East, Riverside","812 Queen Street East, Toronto","['Bakery', 'Cafe', 'Breakfast']",CA$35,['Great Breakfasts']
67,BAR,House On Parliament,4.7,(314 Reviews),"Parliament Street, Regent Park","454 Parliament Street, Toronto M5A 2H6","['British', 'Bar Food']",CA$75,['Comfort Food']
68,QUICK BITES,Johnny's Hamburgers,4.2,(470 Reviews),"Sheppard Avenue East, Scarborough","2595 Victoria Park Avenue, Scarborough M1T 1A4",['Burger'],CA$15,[]
69,CASUAL DINING,Beast,4.4,(193 Reviews),"Tecumseth Street, Niagara","96 Tecumseth Street, Toronto M6J 2H1",['Canadian'],CA$65,['Weekend Brunches']
70,CASUAL DINING,Bar Raval,4.2,(110 Reviews),"College Street, Little Italy","505 College Street, Toronto M6G 1A4","['Spanish', 'Tapas', 'Bar Food']",CA$60,[]
71,DESSERT PARLOR,Sweet Jesus,3.8,(131 Reviews),"Adelaide Street West, Entertainment District","106 John Street, Toronto M5H 1X9","['Ice Cream', 'Coffee and Tea']",CA$15,[]
72,CASUAL DINING,Yuzu No Hana,4.5,(226 Reviews),"Adelaide Street West, Entertainment District","236 Adelaide Street West, Toronto M5H 1W7","['Sushi', 'Japanese', 'Asian']",CA$100,['Super Sushi']
73,DESSERT PARLOR,Uncle Tetsu's Japanese Cheesecake,4.2,(193 Reviews),"Bay St Toronto, Discovery District","598 Bay Street, Toronto M5G 1C3","['Desserts', 'Japanese', 'Asian']",CA$15,[]
74,CAFÉ,Black Camel,4.8,(230 Reviews),Rosedale,"4 Crescent Road, Toronto M4W 1S9","['Cafe', 'Sandwich']",CA$30,[]
75,CAFÉ,Saving Grace,4.2,(185 Reviews),"Dundas Street West, Trinity Bellwoods","907 Dundas Street West, Toronto M6J 1V9","['Cafe', 'Canadian']",CA$30,['Weekend Brunches']
76,CASUAL DINING,Dailo,4.3,(111 Reviews),Little Italy,"503 College Street, Toronto M6G 1A5","['Chinese', 'Asian Fusion']",CA$85,['Great Chinese']
77,FINE DINING,George Restaurant,4.8,(193 Reviews),"Queen Street East, Garden District","111C Queen Street East, Toronto M5C 1S2",['Canadian'],CA$110,"['Date Night, Happy Herbivores']"
78,CASUAL DINING,Fishman Lobster Clubhouse,4.0,(175 Reviews),"Steeles Avenue East, Scarborough","Silver Star, 680 Silver Star Boulevard, Scarborough M1V 4S5","['Seafood', 'Cantonese', 'Chinese']",CA$140,['Super Seafood']
79,CASUAL DINING,Sushi Kaji,4.6,(184 Reviews),"The Queensway, Etobicoke","860 The Queensway, Etobicoke M8Z 1N7",['Sushi'],CA$160,['Super Sushi']
80,CASUAL DINING,Sassafraz,4.2,(300 Reviews),"Cumberland Street, Yorkville","100 Cumberland Street, Toronto M5S 2W7","['Canadian', 'French']",CA$90,[]
81,CASUAL DINING,Trattoria Nervosa,4.4,(278 Reviews),"Yorkville Avenue, Yorkville","75 Yorkville Avenue, Toronto M5R 1B8",['Italian'],CA$70,[]
82,FINE DINING,Ruby Watchco,4.8,(235 Reviews),"Queen Street East, Riverside","730 Queen Street East, Toronto M4M 1H2",['Canadian'],CA$120,[]
83,CASUAL DINING,Mother's Dumplings,4.1,(279 Reviews),"Spadina Avenue, Kensington-Chinatown","421 Spadina Avenue, Toronto M5T2G6",['Northern Chinese'],CA$30,"['Great Chinese, Pocket Friendly']"
84,CASUAL DINING,Kingyo,4.3,(176 Reviews),"Winchester Street, Cabbagetown","51B Winchester Street, Toronto M4X 1R7","['Sushi', 'Japanese', 'Asian']",CA$110,['Super Sushi']
85,CASUAL DINING,Le Cafe Michi,4.3,(209 Reviews),"Pharmacy Avenue, Scarborough","1802 Pharmacy Avenue, Scarborough M1T 1H6","['Sushi', 'Japanese', 'Asian']",CA$55,['Super Sushi']
86,CASUAL DINING,Little India,4.2,(279 Reviews),"Queen Street West, Entertainment District","255 Queen Street West, Toronto M5V1Z4",['Indian'],CA$40,['Trending This Week']
87,CASUAL DINING,Olde Yorke,4.6,(274 Reviews),Leaside,"96 Laird Drive, Toronto","['Fish and Chips', 'British']",CA$60,[]
88,FINE DINING,Barberian's Steakhouse And Tavern,4.4,(276 Reviews),Downtown Yonge,"7 Elm Street, Toronto M5G 1H1",['Steak'],CA$160,[]
89,CAFÉ,Le Gourmand,4.6,(173 Reviews),"Spadina Avenue, Fashion District","152 Spadina Avenue, Toronto M5V 3S6",['Cafe'],CA$25,[]
90,CASUAL DINING,Queen Mother Cafe,4.3,(328 Reviews),"Queen Street West, Entertainment District","208 Queen Street West, Toronto M5V 1Z2",['Asian Fusion'],CA$50,[]
