,occasion,name,avg review,review count,neighborhood,address,cuisines,cost for 2,featured in,Google Addresses,Lat,Lng,Postal Codes
0,QUICK BITES,Banh Mi Boys,4.7,940,"Queen Street West, Fashion District","392 Queen Street West, Toronto",Sandwich,25,"Pocket Friendly, Super Sandwiches","392 Queen St W, Toronto, ON M5V 2A6, Canada",43.648827000000004,-79.39697009999998,M5V
1,CASUAL DINING,KINKA IZAKAYA,4.7,1164,"Church Street, Church And Wellesley","398 Church Street, Toronto M5B 2A2 2A2","Japanese, Asian",55,Unique Dining,"398 Church St, Toronto, ON M5B 2A2, Canada",43.66043020000001,-79.37893249999998,M5B
2,CASUAL DINING,Pai,4.9,613,"Duncan Street, Entertainment District","18 Duncan Street, Toronto","Thai, Asian",50,,"18 Duncan St, Toronto, ON M5H 3G8, Canada",43.6478695,-79.3886849,M5H
3,CASUAL DINING,Salad King,4.2,1262,"Yonge Street, Downtown Yonge","340 Yonge Street, Toronto M5B 1R8","Thai, Asian",30,,"340 Yonge St, Toronto, ON M5B 1R8, Canada",43.6576479,-79.38172840000001,M5B
4,CASUAL DINING,Pizzeria Libretto,4.5,1008,"Ossington Avenue, Trinity Bellwoods","221 Ossington Avenue, Toronto M6J 2Z8","Pizza, Italian",50,Hipster Hangouts,"221 Ossington Ave, Toronto, ON M6J 2Z8, Canada",43.64900170000001,-79.4203433,M6J
5,QUICK BITES,The Stockyards,4.6,734,"Saint Clair Avenue West, Forest Hill","699 St Clair Avenue West, Toronto M6C 1B2","BBQ, Burger",25,"Kickass Burgers, Barbecue & Grill, Grill My Cheese, Super Sandwiches","699 St Clair Ave W, Toronto, ON M6C 1B2, Canada",43.681345799999995,-79.426147,M6C
6,CASUAL DINING,Grand Electric,4.4,725,"Queen Street West, Brockton Village","1330 Queen Street West, Toronto",Mexican,40,"Mexican Magic, Hipster Hangouts","1330 Queen St W, Toronto, ON M6K 1L4, Canada",43.64177369999999,-79.43160970000002,M6K
7,CASUAL DINING,Richmond Station,4.8,490,Financial District,"1 Richmond Street West, Suite 120, Toronto M5H 3W4","Italian, Canadian",80,,"120-1 Richmond St W, Toronto, ON M5H 3W4, Canada",43.65078,-79.38371090000003,M5H
8,FINE DINING,Canoe,4.4,680,"Wellington Street West, Financial District","66 Wellington St. W, TD Bank Tower, 54th Floor, Toronto M5K 1H6 1H6","Canadian, Bar Food",150,"Date Night, Happy Herbivores","66 Wellington St W 54th floor, Toronto, ON M5K 1H6, Canada",43.6476696,-79.3810141,M5K
9,CASUAL DINING,Barque Smokehouse,4.3,651,"Roncesvalles Avenue, Roncesvalles Village","299 Roncesvalles Avenue, Toronto M6R 2M3","BBQ, Grill",70,Barbecue & Grill,"299 Roncesvalles Ave, Toronto, ON M6R 2M3, Canada",43.647988500000004,-79.4495441,M6R
10,CASUAL DINING,Terroni,4.1,950,"Queen Street West, Trinity Bellwoods","720 Queen Street W, Toronto, ON M6J 1E8","Italian, Pizza",65,Date Night,"720 Queen St W, Toronto, ON M5V 2B5, Canada",43.6463059,-79.40916700000002,M5V
11,FINE DINING,Auberge du Pommier,4.5,644,"Yonge Street, North York","4150 Yonge St., Toronto, ON M2P 2C6",French,150,Date Night,"4150 Yonge St, North York, ON M2P 2C6, Canada",43.746854299999995,-79.4077453,M2P
12,CASUAL DINING,The Black Hoof,4.7,495,"Dundas Street West, Trinity Bellwoods","928 Dundas Street West, Toronto M6J 1W3","Tapas, Bar Food",80,"Hipster Hangouts, Trending This Week","928 Dundas St W, Toronto, ON M6J 1W3, Canada",43.6509775,-79.41327969999998,M6J
13,CASUAL DINING,La Carnita,4.3,446,Little Italy,"501 College Street, Toronto M6G1A6",Mexican,35,Mexican Magic,"501 College St, Toronto, ON M5S 2K2, Canada",43.6558701,-79.40979449999998,M5S
14,CASUAL DINING,Bar Isabel,4.8,415,"College Street, Dufferin Grove","797 College Street, Toronto M6G 1C7","Spanish, Tapas, Bar Food",150,Date Night,"797 College St, Toronto, ON M6G 1C7, Canada",43.65464730000001,-79.4207891,M6G
15,CASUAL DINING,Sansotei Ramen,4.6,413,"Dundas Street West, Discovery District","179 Dundas Street West, Toronto M5G1Z8",Ramen,40,Ramen,"179 Dundas St W, Toronto, ON M5G 1C7, Canada",43.655003799999996,-79.38647309999998,M5G
16,QUICK BITES,Seven Lives - Tacos Y Mariscos,4.9,310,"Kensington Avenue, Kensington-Chinatown","69 Kensington Avenue, Toronto M5T 2K2",Mexican,25,"Mexican Magic, Pocket Friendly","69 Kensington Ave, Toronto, ON M5T 2K2, Canada",43.654330200000004,-79.4003792,M5T
17,CASUAL DINING,Lee,4.5,572,"King Street West, Fashion District","601 King Street West, Toronto M5V 1M5","Asian Fusion, Asian",85,Great Chinese,"601 King St W, Toronto, ON M5V 1M5, Canada",43.6441589,-79.40044509999998,M5V
18,CASUAL DINING,Messini,4.4,610,"Danforth Avenue, The Danforth","445 Danforth Avenue, Toronto M4K 1P2",Greek,40,,"445 Danforth Ave, Toronto, ON M4K 1P1, Canada",43.6776906,-79.35053559999999,M4K
19,CASUAL DINING,Rodney's Oyster House,4.6,474,Fashion District,"469 King Street West, Toronto M5V 1K4",Seafood,75,Super Seafood,"469 King St W, Toronto, ON M5V 3M4, Canada",43.6449948,-79.3967672,M5V
20,CASUAL DINING,WVRST,4.4,462,"King Street West, Niagara","609 King Street West, Toronto M5V 1M5",German,40,Craft Beer,"609 King St W, Toronto, ON M5V 1M5, Canada",43.6441094,-79.40070899999998,M5V
21,CASUAL DINING,Momofuku Noodle Bar,3.3,543,"University Avenue, Entertainment District",190 University Avenue M5H 0A3,"Japanese, Asian",60,Ramen,"190 University Ave, Toronto, ON M5H 0A3, Canada",43.6494535,-79.3863506,M5H
22,CASUAL DINING,Buca,4.5,433,"King Street West, Fashion District","604 King Street West, Toronto M5V 1M6",Italian,80,,"604 King St W, Toronto, ON M5V 1M5, Canada",43.6445122,-79.4003621,M5V
23,CASUAL DINING,Grazie Ristorante,4.2,694,"Yonge Street, Yonge & Eglinton","2373 Yonge Street, Toronto M4P 2C8",Italian,60,,"2373 Yonge St, Toronto, ON M4P 2C8, Canada",43.7093451,-79.39869589999998,M4P
24,CASUAL DINING,Hokkaido Ramen Santouka,4.5,432,"Dundas Street East, Garden District","91 Dundas Street E, Toronto M5B 1E1",Ramen,45,Ramen,"91 Dundas St E, Toronto, ON M5B 1E1, Canada",43.6562846,-79.3775698,M5B
25,CASUAL DINING,JaBistro,4.6,286,"Richmond Street West, Entertainment District","222 Richmond Street West, Toronto M5V1W4 1W4",Sushi,100,Super Sushi,"222 Richmond St W, Toronto, ON M5V 1V6, Canada",43.649781299999994,-79.38815980000003,M5V
26,CASUAL DINING,Le Sélect Bistro,4.4,492,Fashion District,"432 Wellington Street West, Toronto M5V 1E3",French,85,,"432 Wellington St W, Toronto, ON M5V 1E3, Canada",43.6438713,-79.3968898,M5V
27,CASUAL DINING,Beerbistro,4.4,512,"King Street East, St. Lawrence","18 King Street East, Toronto M5C 1C4","Canadian, Bar Food",80,,"18 King St E, Toronto, ON M5H 1A1, Canada",43.6496485,-79.37708950000003,M5H
28,CASUAL DINING,Insomnia,4.3,401,"Bloor Street West, Harbord Village","563 Bloor Street West, Toronto M5S 1Y6","American, Italian, Bar Food",100,"Weekend Brunches, Late Night Restaurants","563 Bloor St W, Toronto, ON M5S 1Y6, Canada",43.6650421,-79.41077790000001,M5S
29,CASUAL DINING,El Catrin Destileria,3.9,455,"Tank House Lane, Distillery District","18 Tank House Lane, Distillery District, Toronto M5A 3C4","Mexican, Tapas",45,Mexican Magic,"18 Tank House Lane, Toronto, ON M5A 3C4, Canada",43.65065389999999,-79.35846029999998,M5A
30,CASUAL DINING,Copacabana Grilled Brazilian,4.2,540,Davisville Village,"150 Eglinton Avenue East, Toronto M5H 3H1","Brazilian, Grill",100,"Comfort Food, Unique Dining","150 Eglinton Ave E, Toronto, ON M4P 1E8, Canada",43.7078631,-79.39415600000002,M4P
31,FINE DINING,Jacob's and Co. Steakhouse,4.9,317,Fashion District,"12 Brant Street, Toronto",Steak,140,Super Seafood,"12 Brant St, Toronto, ON M5V 3G9, Canada",43.6454083,-79.39797039999998,M5V
32,DESSERT PARLOR,Nadège,4.8,360,"Queen Street West, Trinity Bellwoods","780 Queen Street West, Toronto ON M6J 2R5","Desserts, Patisserie, Cafe",20,"Sweet Tooth, Hipster Hangouts","780 Queen St W, Toronto, ON M6J 2R5, Canada",43.6459275,-79.4114391,M6J
33,DESSERT PARLOR,Bang Bang Ice Cream,4.7,219,"Ossington Avenue, Beaconsfield Village","93 1/2 Ossington Avenue, Toronto M6J 2Z4","Ice Cream, Desserts",20,,"93 Ossington Ave, Toronto, ON M6J 2Z2, Canada",43.6463531,-79.4191781,M6J
34,CASUAL DINING,Mildred's Temple Kitchen,4.2,392,"Hanna Avenue, Liberty Village","85 Hanna Avenue, Suite 104 Toronto M6K 3S3","Fusion, Canadian",80,"Weekend Brunches, Great Breakfasts, Happy Herbivores, Grill My Cheese","104-85 Hanna Ave, Toronto, ON M6K 3S3, Canada",43.64017399999999,-79.4200493,M6K
35,QUICK BITES,Burrito Boyz,4.5,640,"Adelaide Street West, Entertainment District","224 Adelaide Street West, Toronto M5H 1W7","Mexican, Fast Food",25,,"224 Adelaide St W, Toronto, ON M5H 1W7, Canada",43.6484781,-79.38805529999998,M5H
36,CASUAL DINING,Marben,4.4,380,"Wellington Street West, Fashion District","488 Wellington Street West, Fashion District","Burger, Spanish, Canadian",70,,"488 Wellington St W, Toronto, ON M5V 1E9, Canada",43.643593599999996,-79.3985027,M5V
37,CASUAL DINING,Patria,4.3,296,"King Street West, Fashion District",478 King Street. West M5V 1L7,"Tapas, Spanish",120,,"478 King St W, Toronto, ON M5V 0A8, Canada",43.64547520000001,-79.39610449999998,M5V
38,CASUAL DINING,Buk Chang Dong Soon Tofu,4.6,381,"Bloor Street West, Seaton Village","691 Bloor Street West, Toronto M6G 1L3",Korean,30,,"691 Bloor St W, Toronto, ON M6G 1L3, Canada",43.66358899999999,-79.41695759999998,M6G
39,QUICK BITES,Tacos El Asador,4.5,365,"Clinton Street, Seaton Village","690 Bloor Street West, Toronto M6G 4B9","Fast Food, Mexican",25,Pocket Friendly,"690 Bloor St W, Toronto, ON M6G 1L2, Canada",43.66397360000001,-79.4171032,M6G
40,CASUAL DINING,Japango,4.4,344,"Elizabeth Street, Discovery District","122 Elizabeth Street, Toronto M5G 1P5","Sushi, Japanese, Asian",120,Super Sushi,"122 Elizabeth St, Toronto, ON M5G 1P5, Canada",43.655066,-79.385297,M5G
41,CASUAL DINING,Lahore Tikka House,4.2,464,"Gerrard Street East, Leslieville","1365 Gerrard Street East, Toronto M4L 1Z3","Pakistani, Indian",35,,"1365 Gerrard St E, Toronto, ON M4L 1Z3, Canada",43.67145910000001,-79.32464509999998,M4L
42,CASUAL DINING,Playa Cabana,4.4,309,"Dupont Street, The Annex","111 Dupont Street, Toronto M5R 1V4",Mexican,70,"Date Night, Mexican Magic","111 Dupont St, Toronto, ON M5R 1V4, Canada",43.6759903,-79.40121669999998,M5R
43,CASUAL DINING,Rol San,4.1,382,Kensington-Chinatown,"323 Spadina Avenue, Toronto M5T2E9","Dim Sum, Cantonese",45,Great Chinese,"323 Spadina Ave, Toronto, ON M5T 2E9, Canada",43.6544011,-79.3981585,M5T
44,QUICK BITES,Wilbur Mexicana,4.5,200,"King Street West, Fashion District","552 King Street West, Toronto M5V 1M3",Mexican,35,Mexican Magic,"552 King St W, Toronto, ON M5V 1M3, Canada",43.6448775,-79.39879810000002,M5V
45,CASUAL DINING,KINTON RAMEN,3.9,476,"Baldwin Street, Grange Park","51 Baldwin Street, Toronto M5T 1L1","Ramen, Japanese",35,Ramen,"51 Baldwin St, Toronto, ON M5T 1L1, Canada",43.6557276,-79.39391409999998,M5T
46,CASUAL DINING,Stoney's Bread Company,4.6,394,"Kerr Street, Oakville","325 Kerr Street, Oakville",Italian,45,,"325 Kerr St, Oakville, ON L6K 3B6, Canada",43.44372600000001,-79.68122489999998,L6K
47,CASUAL DINING,Byblos,4.7,171,"Duncan Street, Entertainment District",11 Duncan Street M5V 3M2,Mediterranean,90,,"11 Duncan St, Toronto, ON M5V 3M2, Canada",43.647529399999996,-79.3880142,M5V
48,CASUAL DINING,Le Petit Dejeuner,4.3,344,"King Street East, St. Lawrence","191 King Street East, Toronto M5A 1J5","Canadian, Belgian",70,"Great Breakfasts, Weekend Brunches","191 King St E, Toronto, ON M5A 1J5, Canada",43.6506557,-79.3702608,M5A
49,CASUAL DINING,Gio Rana's Really Really Nice Restaurant,4.5,385,"Queen Street East, Leslieville","1220 Queen Street East, Toronto M4M 1L7",Italian,65,Mamma Mia!,"1220 Queen St E, Toronto, ON M4M 1L7, Canada",43.6634484,-79.33047890000002,M4M
50,CASUAL DINING,Sabai Sabai,4.5,239,"Bloor Street West, Yorkville","81 Bloor Street E, Toronto M4W 1A9","Thai, Asian, Tapas",50,,"81 Bloor St E, Toronto, ON M4W 0A8, Canada",43.6702624,-79.3846281,M4W
51,CASUAL DINING,Sukhothai,4.6,336,"Parliament Street, Regent Park","274 Parliament Street, Regent Park, Toronto M5A 3A4",Thai,50,,"274 Parliament St, Toronto, ON M5A 3A4, Canada",43.6584053,-79.36575359999998,M5A
52,CASUAL DINING,Banjara Indian House,4.5,396,"Bloor Street West, Christie Pits","796 Bloor Street West, Toronto M6G 1L7",Indian,45,,"796 Bloor St W, Toronto, ON M6G 1L7, Canada",43.6631588,-79.4218822,M6G
53,CASUAL DINING,Ramen Isshin,4.7,157,"College Street, Harbord Village","421 College Street, Toronto M5T 1T1","Ramen, Japanese",50,Ramen,"421 College St, Toronto, ON M5T 1T1, Canada",43.6563265,-79.40686579999998,M5T
54,BAR,The Lounge - The Drake Hotel,4.1,360,"Queen Street West, Beaconsfield Village","The Drake Hotel, 1150 Queen Street West, Toronto M6J 1J3","Bar Food, European, Asian",65,,"1150 Queen St W, Toronto, ON M6J 1J3, Canada",43.6432276,-79.4246302,M6J
55,CASUAL DINING,Enoteca Sociale,4.5,280,"Dundas Street West, Dufferin Grove","1288 Dundas Street West, Toronto M6J 1X7","Italian, European",90,"Date Night, Mamma Mia!","1288 Dundas St W, Toronto, ON M6J 1X7, Canada",43.64958220000001,-79.42562939999998,M6J
56,CASUAL DINING,The Sultan's Tent & Cafe Moroc,3.8,411,"Front Street East 3rd Floor, St. Lawrence","49 Front Street East, Toronto","French, Moroccan",70,Unique Dining,"49 Front St E, Toronto, ON M5E 1B3, Canada",43.6477782,-79.37414220000002,M5E
57,CASUAL DINING,Utopia,4.4,379,"College Street, Little Italy","586 College Street, Toronto M6G 1B3","American, Mexican",40,Comfort Food,"586 College St, Toronto, ON M6G 1B3, Canada",43.65544600000001,-79.413505,M6G
58,CASUAL DINING,Lady Marmalade,4.4,299,"Queen Street East, Riverside","265 Broadview Ave, Toronto M4M 1J3",Mexican,40,,"265 Broadview Ave, Toronto, ON M4M 1T4, Canada",43.663208399999995,-79.3515108,M4M
59,CASUAL DINING,Buster's Sea Cove,4.5,275,"Front Street East, St. Lawrence","St. Lawrence Market, 93 Front Street East, Toronto",Seafood,50,Super Seafood,"93 Front St E, Toronto, ON M5E 1C3, Canada",43.6490516,-79.3717741,M5E
60,FINE DINING,360 Restaurant,4.1,346,"CN Tower, Entertainment District","CN Tower, 301 Front Street West, Toronto M5V 2T6","Canadian, Grill",180,Unique Dining,"CN Tower, 301 Front St W, Toronto, ON M5V 2T6, Canada",43.6425657,-79.38705569999998,M5V
61,QUICK BITES,Porchetta & Co.,4.6,227,"Dundas Street West, Trinity Bellwoods","825 Dundas Street West, Toronto M6J 1V4",Sandwich,30,Super Sandwiches,"825 Dundas St W, Toronto, ON M6J 1V4, Canada",43.6515535,-79.4090015,M6J
62,CASUAL DINING,The Carbon Bar,4.3,185,"Queen Street East, St. Lawrence","99 Queen Street East, Toronto M5C 1S1",American,80,Kickass Burgers,"99 Queen St E, Toronto, ON M5C 1S1, Canada",43.65317460000001,-79.37478840000001,M5C
63,CASUAL DINING,Manpuku,4.5,196,"Village by the Grange, Grange Park","Village by the Grange, 105 McCaul Street, Unit 29-31, Toronto M5T 2X4",Japanese,30,,"109 McCaul St, Toronto, ON M5T 2W7, Canada",43.6537184,-79.39090350000002,M5T
64,BAR,Sneaky Dee's,3.9,322,"College Street, Little Italy","431 College Street, Toronto M5T 1T1","Mexican, Bar Food, Tex-Mex",20,Pocket Friendly,"431 College St, Toronto, ON M5T 1T1, Canada",43.656333000000004,-79.407487,M5T
65,QUICK BITES,Johnny's Hamburgers,4.2,471,"Sheppard Avenue East, Scarborough","2595 Victoria Park Avenue, Scarborough M1T 1A4",Burger,15,,"2595 Victoria Park Ave, Scarborough, ON M1T 1A4, Canada",43.7748844,-79.32228420000001,M1T
66,CASUAL DINING,Bar Raval,4.2,111,"College Street, Little Italy","505 College Street, Toronto M6G 1A4","Spanish, Tapas, Bar Food",60,,"505 College St, Toronto, ON M6J 2J3, Canada",43.6558432,-79.4099433,M6J
67,CASUAL DINING,Beast,4.4,193,"Tecumseth Street, Niagara","96 Tecumseth Street, Toronto M6J 2H1",Canadian,65,Weekend Brunches,"96 Tecumseth St, Toronto, ON M6J 2H1, Canada",43.644079299999994,-79.4057444,M6J
68,DESSERT PARLOR,Sweet Jesus,3.8,131,"Adelaide Street West, Entertainment District","106 John Street, Toronto M5H 1X9","Ice Cream, Coffee and Tea",15,,"106 John St, Toronto, ON M5H 1X9, Canada",43.64718449999999,-79.39017559999998,M5H
69,BAKERY,Bonjour Brioche,4.3,288,"Queen Street East, Riverside","812 Queen Street East, Toronto","Bakery, Cafe, Breakfast",35,Great Breakfasts,"812 Queen St E, Toronto, ON M4M 1H6, Canada",43.6598261,-79.34630779999998,M4M
70,CASUAL DINING,Yuzu No Hana,4.5,226,"Adelaide Street West, Entertainment District","236 Adelaide Street West, Toronto M5H 1W7","Sushi, Japanese, Asian",100,Super Sushi,"236 Adelaide St W, Toronto, ON M5H 1W7, Canada",43.64846179999999,-79.38837219999998,M5H
71,DESSERT PARLOR,Uncle Tetsu's Japanese Cheesecake,4.2,193,"Bay St Toronto, Discovery District","598 Bay Street, Toronto M5G 1C3","Desserts, Japanese, Asian",15,,"598 Bay St, Toronto, ON M5G 1C3, Canada",43.65596890000001,-79.38401340000001,M5G
72,CAFÉ,Black Camel,4.8,230,Rosedale,"4 Crescent Road, Toronto M4W 1S9","Cafe, Sandwich",30,Super Sandwiches,"4 Crescent Rd, Toronto, ON M4W 1S9, Canada",43.67728620000001,-79.3894689,M4W
73,CASUAL DINING,Fishman Lobster Clubhouse,4.0,175,"Steeles Avenue East, Scarborough","Silver Star, 680 Silver Star Boulevard, Scarborough M1V 4S5","Seafood, Cantonese, Chinese",140,Super Seafood,"680 Silver Star Blvd, Scarborough, ON M1V 4S5, Canada",43.8240474,-79.300648,M1V
74,CASUAL DINING,Café Crêpe,4.4,285,"Queen Street West, Grange Park","246 Queen Street West, Toronto","Breakfast, French, European",25,Great Breakfasts,"246 Queen St W, Toronto, ON M5V 1Z7, Canada",43.6501794,-79.3908793,M5V
75,CAFÉ,Saving Grace,4.2,185,"Dundas Street West, Trinity Bellwoods","907 Dundas Street West, Toronto M6J 1V9","Cafe, Canadian",30,Weekend Brunches,"907 Dundas St W, Toronto, ON M6J 1W1, Canada",43.6508652,-79.41242869999998,M6J
76,CASUAL DINING,Me Va Me,4.0,458,"Steeles Avenue West, Thornhill","7000 Bathurst Street, Thornhill L4J 8S3",Mediterranean,35,,"7000 Bathurst St, Thornhill, ON L4J 7L1, Canada",43.793071399999995,-79.44643520000002,L4J
77,CASUAL DINING,Sushi Kaji,4.6,184,"The Queensway, Etobicoke","860 The Queensway, Etobicoke M8Z 1N7",Sushi,160,Super Sushi,"860 The Queensway, Etobicoke, ON M8Z 1N7, Canada",43.6249445,-79.50995259999998,M8Z
78,CASUAL DINING,Sassafraz,4.2,300,"Cumberland Street, Yorkville","100 Cumberland Street, Toronto M5S 2W7","Canadian, French",90,,"100 Cumberland St, Toronto, ON M5S 2W7, Canada",43.6704589,-79.39121740000002,M5S
79,CASUAL DINING,Trattoria Nervosa,4.4,278,"Yorkville Avenue, Yorkville","75 Yorkville Avenue, Toronto M5R 1B8",Italian,70,,"75 Yorkville Ave, Toronto, ON M5R 1B8, Canada",43.6710199,-79.39108540000002,M5R
80,CASUAL DINING,Olde Yorke,4.6,274,Leaside,"96 Laird Drive, Toronto","Fish and Chips, British",60,,"96 Laird Dr, East York, ON M4G 3V3, Canada",43.706238799999994,-79.3621045,M4G
81,CASUAL DINING,Mother's Dumplings,4.1,279,"Spadina Avenue, Kensington-Chinatown","421 Spadina Avenue, Toronto M5T2G6",Northern Chinese,30,"Great Chinese, Pocket Friendly","421 Spadina Ave, Toronto, ON M5T 0A1, Canada",43.65711839999999,-79.3993309,M5T
82,CASUAL DINING,Kingyo,4.3,176,"Winchester Street, Cabbagetown","51B Winchester Street, Toronto M4X 1R7","Sushi, Japanese, Asian",110,Super Sushi,"51B Winchester St, Toronto, ON M4X 1P3, Canada",43.66586289999999,-79.36819720000003,M4X
83,CASUAL DINING,Patois,4.1,118,"Dundas Street West, Trinity Bellwoods","794 Dundas Street West, Toronto M6J 1V1","Jamaican, Caribbean",40,,"794 Dundas St W, Toronto, ON M6J 1V1, Canada",43.6519763,-79.40819520000002,M6J
84,CASUAL DINING,Little India,4.2,281,"Queen Street West, Entertainment District","255 Queen Street West, Toronto M5V1Z4",Indian,40,,"255 Queen St W, Toronto, ON M5V 1Z4, Canada",43.6502364,-79.38895550000002,M5V
85,CASUAL DINING,Le Cafe Michi,4.3,209,"Pharmacy Avenue, Scarborough","1802 Pharmacy Avenue, Scarborough M1T 1H6","Sushi, Japanese, Asian",55,Super Sushi,"1802 Pharmacy Ave, Scarborough, ON M1T 1K1, Canada",43.7755898,-79.31783779999998,M1T
86,FINE DINING,Barberian's Steakhouse And Tavern,4.4,276,Downtown Yonge,"7 Elm Street, Toronto M5G 1H1",Steak,160,,"7 Elm St, Toronto, ON M5G 1H1, Canada",43.65759430000001,-79.38217019999998,M5G
87,CASUAL DINING,Queen Mother Cafe,4.3,329,"Queen Street West, Entertainment District","208 Queen Street West, Toronto M5V 1Z2",Asian Fusion,50,,"208 Queen St W, Toronto, ON M5V 1Z2, Canada",43.65037840000001,-79.38912629999999,M5V
88,CASUAL DINING,Electric Mud BBQ,4.3,183,"Brock Avenue, Parkdale","5 Brock Avenue, Toronto M6K 2K6","BBQ, Grill",45,Barbecue & Grill,"5 Brock Ave, Toronto, ON M6K 2K6, Canada",43.6420041,-79.43234540000002,M6K
89,CASUAL DINING,Spoon & Fork,4.1,381,"The Queensway, Etobicoke","1233 The Queensway, Etobicoke","Japanese, Thai, Asian",70,,"1233 The Queensway, Etobicoke, ON M8Z 1S1, Canada",43.6209364,-79.52460079999999,M8Z
90,DESSERT PARLOR,Millie Creperie,4.4,124,"Baldwin Street, Kensington-Chinatown","161 Baldwin Street, Toronto M5T 1L9","Desserts, Cafe, Japanese",30,Sweet Tooth,"161 Baldwin St, Toronto, ON M5T 1L9, Canada",43.6547744,-79.39979029999998,M5T
91,CASUAL DINING,GuruLukshmi,4.5,334,"Derry Village Square, Mississauga",7070 Saint Barbara Boulevard L5W 0E6,Indian,40,,"7070 St Barbara Blvd, Mississauga, ON L5W 0E6, Canada",43.638622399999996,-79.7161974,L5W
92,BAR,Amsterdam BrewHouse,3.9,231,"Amsterdam Bridge, Harbourfront","245 Queens Quay West, Toronto M5J 2K9",Bar Food,70,"Craft Beer, Trending This Week","245 Queens Quay W, Toronto, ON M5J 2K9, Canada",43.63852470000001,-79.3850073,M5J
93,FINE DINING,Harbour Sixty,4.3,270,"Bay Street, Harbourfront","60 Harbour Street, Toronto","Seafood, American",180,Super Seafood,"60 Harbour St, Toronto, ON M5J 1B7, Canada",43.6421013,-79.3784532,M5J
94,QUICK BITES,El Trompo,4.4,247,"Oxford Street, Kensington-Chinatown","277 Augusta Avenue, Toronto M5T2M1",Mexican,45,Mexican Magic,"277 Augusta Ave, Toronto, ON M5T 2M1, Canada",43.6559148,-79.4023148,M5T
95,CASUAL DINING,Scaddabush,4.4,162,"Yonge Street, Downtown Yonge","382 Yonge Street, Toronto M5B 1S8",Italian,60,,"382 Yonge St, Toronto, ON M5B 1S9, Canada",43.65924090000001,-79.38286,M5B
96,CAFÉ,Le Gourmand,4.6,172,"Spadina Avenue, Fashion District","152 Spadina Avenue, Toronto M5V 3S6",Cafe,25,,"152 Spadina Ave, Toronto, ON M5V 1Y1, Canada",43.6481229,-79.39664090000002,M5V
97,FINE DINING,Bymark,4.7,292,"King Street West, Financial District","Toronto Dominion Centre, 66 Wellington Street West, Toronto M5K 1M6",Canadian,120,"Kickass Burgers, Trending This Week","66 Wellington St W, Toronto, ON M5K 1A1, Canada",43.6476696,-79.3810141,M5K
98,FINE DINING,Yasu,4.3,75,"Harbord Street, Harbord Village","81 Harbord Street, Toronto M5S 1G4","Sushi, Japanese, Asian",160,Super Sushi,"81 Harbord St, Toronto, ON M5S 1G4, Canada",43.662729799999994,-79.4031832,M5S
99,CASUAL DINING,Restoran Malaysia,4.5,297,"Major Mackenzie Drive East, Richmond Hill","815 Major Mackenzie Drive E, Unit 10, Richmond Hill L4C 9X2","Malaysian, Asian",60,,"10-815 Major Mackenzie Dr E, Richmond Hill, ON L4C 9X2, Canada",43.875794899999995,-79.41353470000001,L4C
100,CASUAL DINING,The Lakeview Restaurant,3.8,272,"Dundas Street West, Little Italy","1132 Dundas Street West, Toronto","Canadian, Diner, Grill, Burger",45,,"1132 Dundas St W, Toronto, ON M6J 1X2, Canada",43.6495907,-79.42038520000001,M6J
101,CASUAL DINING,Dailo,4.3,111,Little Italy,"503 College Street, Toronto M6G 1A5","Chinese, Asian Fusion",85,Great Chinese,"503 College St, Toronto, ON M6J 2J3, Canada",43.655848999999996,-79.4098724,M6J
102,QUICK BITES,Poutini's House of Poutine,4.2,232,"Queen Street West, Beaconsfield Village","1112 Queen Street West, Toronto M6J 1H9",Canadian,25,Late Night Restaurants,"1112 Queen St W, Toronto, ON M6J 1H9, Canada",43.6434393,-79.42317320000002,M6J
103,CASUAL DINING,Rose & Sons,4.1,200,"Dupont Street, The Annex","176 Dupont Street, Toronto M5R 2E6","American, Fusion",70,Weekend Brunches,"176 Dupont St, Toronto, ON M5R 2E6, Canada",43.67574399999999,-79.4036733,M5R
104,QUICK BITES,Ravi Soups,4.9,239,"Adelaide Street West, Entertainment District","322 Adelaide Street West, Toronto M5V 1R1","Sri Lankan, Healthy Food",35,,"322 Adelaide St W, Toronto, ON M5V 1R1, Canada",43.647585299999996,-79.3920316,M5V
105,CASUAL DINING,RS - Real Sports,4.0,280,"York Street, Entertainment District","Maple Leaf Square, 15 York Street, Toronto, ON M5J 2Z2","Bar Food, Grill",80,Sports Bars,"15 York St, Toronto, ON M5J 0A3, Canada",43.6420951,-79.3808507,M5J
106,CAFÉ,7 West Cafe,4.3,299,"Yonge Street, Downtown Yonge","7 Charles Street West, Toronto M4Y 1R4","Cafe, Italian",45,Late Night Restaurants,"7 Charles St W, Toronto, ON M4Y 1R4, Canada",43.66847070000001,-79.38670079999999,M4Y
107,CASUAL DINING,Farmhouse Tavern,4.3,165,"Dupont Street, Junction Triangle","1627 Dupont Street, Toronto M6P 3S8","Bar Food, Canadian",65,"Weekend Brunches, Great Breakfasts","1627 Dupont St, Toronto, ON M6P 3S8, Canada",43.66468029999999,-79.45513829999999,M6P
