,occasion,name,avg review,review count,neighborhood,address,cuisines,cost for 2,featured in,Google Addresses,Lat,Lng,Postal Codes
4371,FOOD COURT,Roasty Jack,3.0,12,"Bloor Street West, Yorkville","Cumberland Terrace, Food Court, 2 Bloor Street West, Toronto M4W1A8",American,20,,"2 Bloor St W, Toronto, ON M4W 3E2, Canada",43.670477500000004,-79.3872741,M4W
4372,QUICK BITES,Varsity Deli,2.7,6,"Huron Street, Discovery District","University of Toronto, 364 Huron Street, Toronto","Korean, Japanese, Asian",15,,"27 King's College Cir, Toronto, ON M5S, Canada",43.660849,-79.3954943,
4373,BAKERY,Marius Bakery,3.3,8,"Burnhamthorpe Road, Etobicoke","317 Burnhamthorpe Road, Etobicoke M9B 2A2","Bakery, Cafe",15,,"317 Burnhamthorpe Rd, Etobicoke, ON M9B 2A2, Canada",43.6489427,-79.5493662,M9B
4374,CASUAL DINING,Al Mandi,3.5,11,"Danforth Avenue, East Danforth","1328 Danforth Avenue, Toronto M4J 1M9","Middle Eastern, African",45,,"1328 Danforth Ave, Toronto, ON M4J 1M9, Canada",43.6823292,-79.32931059999999,M4J
4375,CASUAL DINING,China Chopsticks,2.8,8,"Upper Middle Road East, Oakville","Upper Oakville Shopping Centre, 1011 Upper Middle Road East, Oakville","Chinese, Asian",30,,"1011 Upper Middle Rd E, Oakville, ON L6H 4L2, Canada",43.48316519999999,-79.69617749999998,L6H
4376,CASUAL DINING,The Ossington Stop,3.1,5,"Dundas Street West, Beaconsfield Village","1164 Dundas Street West, Toronto M6J 1X4",Bar Food,40,,"1164 Dundas St W, Toronto, ON M6J 1X4, Canada",43.6494615,-79.42153990000001,M6J
4377,BAR,Mayday Malone's,3.7,9,"Bathurst Street, Casa Loma","1078 Bathurst Street, Toronto",Bar Food,45,,"1078 Bathurst St, Toronto, ON M5R 3G9, Canada",43.672482099999996,-79.41437109999998,M5R
4378,FOOD COURT,Souvlaki House,3.0,13,"Mccaul Street, Grange Park","Village by the Grange, 109 McCaul Street, Toronto M5T","Fast Food, Greek",20,,"109 McCaul St, Toronto, ON M5T 2W7, Canada",43.6537184,-79.39090350000002,M5T
4379,DESSERT PARLOR,The Belgian Chocolate Shop,3.9,7,"Queen Street East, The Beaches","2455 Queen Street East, Toronto",Desserts,10,,"2455 Queen St E, Toronto, ON M4E 1H7, Canada",43.6732814,-79.28380659999998,M4E
4380,CASUAL DINING,Oriental City,3.9,7,"Eglinton Avenue West, York","2539 Eglinton Avenue West, Toronto","Chinese, Cantonese, Asian",30,,"2539 Eglinton Ave W, York, ON M6M 1T2, Canada",43.6907078,-79.47181669999998,M6M
4381,FOOD COURT,Prairie Lamb Kebab,3.2,8,"Steeles Avenue East, Markham","Pacific Mall, Second Floor, Food Court, 4300 Steeles Avenue East, Markham","Xinjiang, Chinese",15,,"4300 Steeles Ave E, Markham, ON L3R 0Y5, Canada",43.8250037,-79.3058147,L3R
4382,CASUAL DINING,Royal Caribbean Cafe,3.6,8,"Saint Clair Avenue West, Earlscourt","1127 Street Clair Avenue West, Toronto M6E 1B1",Caribbean,65,,"1127 St Clair Ave W, Toronto, ON M6E 1B1, Canada",43.6781385,-79.4410688,M6E
4383,QUICK BITES,Chester Fried Chicken,3.3,11,"Howard Street, Cabbagetown","23 Howard Street, Toronto",Fast Food,25,,"23 Howard St, Toronto, ON M4X 1J6, Canada",43.67110570000001,-79.37513450000002,M4X
4384,QUICK BITES,Banh Mi 24,3.3,5,"Silver Star Boulevard, Scarborough","Sky City Shopping Centre, 3250 Midland Avenue, Scarborough M1V 0C7","Vietnamese, Asian",25,,"3275 Midland Ave, Scarborough, ON M1V 1K7, Canada",43.8062342,-79.2876744,M1V
4385,CASUAL DINING,Terra E Mare,3.5,5,"Eglinton Avenue West, Forest Hill",1144 Eglinton Avenue West M6C 2E2,Italian,50,,"1144 Eglinton Ave W, Toronto, ON M6C 2E2, Canada",43.6997346,-79.4325401,M6C
4386,QUICK BITES,Latin Super Chicken,3.3,8,"Queen Street North, Mississauga","17 Queen Street North, Mississauga L5N 6A1","Latin American, BBQ",25,,"17 Queen St N, Mississauga, ON L5N 6A1, Canada",43.588852,-79.72282390000002,L5N
4387,CAFÉ,Cafe Moi,3.7,4,"Bay Street, Yorkville","1200 Bay Street, Toronto M5R2A5","Cafe, Colombian, Sandwich",15,,"1200 Bay St, Toronto, ON M4W 1J2, Canada",43.669987799999994,-79.3898554,M4W
4388,QUICK BITES,Corner Kitchen,2.7,11,"Wellesley Street East, Cabbagetown","111 Wellesley Street East, Toronto M4Y 2Y2",Asian,40,,"111 Wellesley St E, Toronto, ON M4Y 2X9, Canada",43.665923299999996,-79.37852590000001,M4Y
4389,QUICK BITES,Parma Pizza,3.3,8,Etobicoke,"716 Scarlett Road, Etobicoke M9P 1W5","Pizza, Fast Food",25,,"716 Scarlett Rd, Etobicoke, ON M9P 2T5, Canada",43.695468,-79.520634,M9P
4390,QUICK BITES,Laziz Biryani,2.8,10,"Wellesley Street East, Cabbagetown","292 Wellesley Street East, Toronto","Indian, Pakistani",20,,"292 Wellesley St E, Toronto, ON M4X 1H1, Canada",43.6682885,-79.3693663,M4X
4391,QUICK BITES,Scrambles,3.4,5,"Westney Road South, Ajax","527 Westney Road South, Ajax L1S",Diner,13,,"527 Westney Rd S, Ajax, ON L1S 4N7, Canada",43.83144009999999,-79.03186459999998,L1S
4392,FOOD COURT,Pizzeria Bosco,2.7,11,"Yonge Street, Financial District","Richtree Market, Eaton Centre, Level One, 14 Queen Street West, Toronto","Pizza, Fast Food",25,,"220 Yonge St, Toronto, ON M5B 2H1, Canada",43.654064399999996,-79.3806966,M5B
4393,QUICK BITES,Bento Sushi,2.9,6,"Silver Dart Drive, Mississauga","Terminal 1, After-Security (Canada), Level 2 Gates, Near Gate D22.",Sushi,25,,"Pearson Airport Terminal 1 Station, Mississauga, ON L5P, Canada",43.682602,-79.61296600000001,
4394,CASUAL DINING,Mendoza's Cuisine,3.5,6,Whitby,"1121 Dundas Street East, Whitby","Seafood, Steak",80,,"1121 Dundas St E, Whitby, ON L1N 2K5, Canada",43.8839015,-78.9234051,L1N
4395,CASUAL DINING,Churrasqueira Do Sardinha,3.2,10,"College Street, Little Italy","707 College Street, Toronto M6G 1C2","Portuguese, Grill",35,,"707 College St, Toronto, ON M6G 1C2, Canada",43.655103800000006,-79.41812540000002,M6G
